						|
help.sturdy_shield	HelpCard	耐用盾牌	White	玩家获得{help.sturdy_shield.use.amount}点[armor]	经得起大多数推销员的演示	tpl.gain_armor_on_use_help_card|{"amount":5}
help.swap_card	HelpCard	交换	White	选择除玩家外的{help.swap_card.use.count}张卡牌互换位置	妙用无穷~	tpl.help.swap_card.use|{"count":2}
help.teleport_card	HelpCard	传送	White	选择除玩家外的{help.teleport_card.use.count}张卡牌洗回卡组	起飞...	tpl.help.teleport_card.use|{"count":1}
help.throwing_knife	HelpCard	飞刀	White	对目标怪物造成{help.throwing_knife.use.amount}点伤害	不包回收	tpl.help.throwing_knife.use|{"count":1,"amount":6}
help.ward_magic_card	HelpCard	庇佑	White	[使用时] 下一次玩家受到伤害时，该次伤害变为{value}		tpl.help.ward_magic_card.use|{"value":0,"source":"help.ward_magic_card"}
help.watchtower	HelpCard	瞭望塔	Gold	[场上] 移动到角格时，对随机怪物造成{amount}点伤害；触发{count}次后移除本卡；[道具牌格] 玩家与怪物战斗时，对随机一张怪物卡造成{amount}点伤害；[使用时] 直接移除本卡，不触发其他效果		tpl.help.watchtower.board_corner|{"count":1,"amount":3,"reason":"help.watchtower.self"} ;; tpl.help.watchtower.item_battle|{"sourceAction":"DealDamage","amount":2} ;; tpl.shared.3.help_healing_spring_use|{"reason":"help.watchtower.use"}
Hp	ChoiceOption	血量+2		永久+2血量上限		
ItemReward	Room	道具奖励房		房内铺 2 属性道具 + 3 随机道具；点击拿走，离开放弃		
Leave	Room	离开		场地导航图标：踏上即离开当前房/选项上下文		
monster.beggar	Monster	人面莱姆	None	[[普通近战]]，[[吸收]]	其实是由六只莱姆组合成的	tpl.skill.absorb.remove|{"weight":1,"delta":1,"reason":"skill.absorb","action_choices_1_action_delta":2,"action_choices_2_action_delta":4}
monster.big_orc	Monster	棕熊1	None	[move]	曾任职于马戏团，现灵活就业	
monster.big_skeleton_reborn	Monster	双球莱姆	None	[[全向近战]]，[[远程武器]]	偶像是豌豆射手	tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"}
monster.big_skeleton	Monster	巨剑骷髅	None	[[全向近战]]	蝉联三年最帅骷髅的称号	
monster.big_stone	Monster	小蜜蜂	None	[[斜角近战]]	是CS高手	
monster.bone_club_skeleton	Monster	拳击决斗者	None	[[神圣决斗]]	绝不打假赛	tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"}
monster.bone_courier	Monster	灵巧决斗者	None	[[神圣决斗]]，[[逃避]]	静待时机...	tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"} ;; tpl.skill.evade.battle|{"sourceAction":"DealDamage"}
monster.brainless_orc	Monster	食人花	None	[[全向近战]]，[[远程武器]]，[[起来]]	躲在密林间阴险地发射火球	tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"} ;; tpl.skill.rise_up.damage|{"count":1}
monster.dragon_cult_leader	Monster	蓝焰	None	[[普通近战]]，[[献火]]	烈焰一族的中坚力量	tpl.skill.offer_fire.remove|{"count":1}
monster.dragon_follower	Monster	幽灵炎	None	[[普通近战]]，[[剧烈燃烧]]	会灼烧灵魂	tpl.skill.intense_burning.flame_deal|{"count":1}
monster.executioner	Monster	灰狼	None		他究其一生没能找到属于自己的狈	
monster.fire_bather	Monster	爆裂决斗者	None	[[神圣决斗]]，[[损耗]]	第40k届决斗者争霸赛冠军	tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"} ;; tpl.skill.attrition.remove|{"delta":-1,"reason":"skill.attrition","action_actions_1_delta":-10}
monster.fire_cult_leader	Monster	红蛙	None		根据常规的游戏逻辑，绿色蛙才有毒，红蛙也是这样想的	
monster.fire_dragon	Monster	莫西干鸟	None	[[普通近战]]，[[快递]]	他的发型是他的生命	tpl.skill.delivery.move|{"count":1}
monster.fire_priest	Monster	挥砍决斗者	None	[[神圣决斗]]，[[历战]]	以前是个经验丰富的伐木工	tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"} ;; tpl.skill.battle_hardened.damage|{"delta":1,"reason":"skill.battle_hardened"}
monster.fire_swallower	Monster	敲击决斗者	None	[[神圣决斗]]，[[嘲讽]]	会讲笑话，虽然决斗者们的笑话从来不好笑	tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"} ;; tpl.skill.taunt.rule|{"value":0}
monster.friendly_ancient	Monster	双角毛猪	None		由于毛太长了，不太看得清路	
monster.giant_skeleton	Monster	干枯树桩	None		他始终不明白那个头顶火炬的兄弟是怎么当成柴火烧干净的	
monster.growing_stone	Monster	红伞伞	None		正在寻找他的好朋友白杆杆	
monster.headless_skeleton	Monster	钢铁莱姆	None	[[普通近战]][[叠甲]]	很耐揍	tpl.skill.stack_armor.interact|{"amount":6}
monster.hoodlum	Monster	火把哥布	None	[[普通近战]]，[[天涯若比邻]]	主要起到照明作用	tpl.skill.world_as_neighbors.rule|{"value":1}
monster.killer	Monster	黑背狼	None		他不喜欢别人叫他地包天	
monster.megalith	Monster	蜂巢	None		不收快递	
monster.melee_3	Monster	小小莱姆	None	[[普通近战]]	人畜无害	
monster.melee_6	Monster	近战6	None			
monster.mist	Monster	绿莱姆	None		人畜无害，娇小可爱	
monster.multi_bone_worm	Monster	沙虫	None		会吐口水（就是沙子）	
monster.observer	Monster	人面莱姆	None		其实是三只史莱姆史套娃	
monster.old_orc	Monster	野猪	None		横冲直撞！	
monster.orc_boss	Monster	野牛	None		冲锋！！！！！！！！！！！！！！！	
monster.orc_commander	Monster	潜水鳄	None	[[普通近战]]，[[刺客领袖]]，[[起来]]	嘘，都给我悄悄的	tpl.skill.assassin_leader.rule|{} ;; tpl.skill.rise_up.damage|{"count":1}
monster.orc_quartermaster	Monster	大葱袋熊	None		他说他背的是剑，但是外号已经传出去了	
monster.orc_warrior	Monster	狼骑哥布	None		哥布族的精英，机动性极强	
monster.pickpocket	Monster	狼骑哥布	None	[[全向近战]]，[[远程武器]]，[[链接]]	在第三次射箭大赛中完胜轻弓骷髅	tpl.skill.link_attack_bonus.rule|{"value":1,"source":"skill.link_attack_bonus"} ;; tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"}
monster.ringleader	Monster	巨棒哥布	None	[[链接近战]]	会狠狠的给对面来上一棍子	tpl.skill.link_attack_bonus.rule|{"value":1,"source":"skill.link_attack_bonus"}
monster.rogue	Monster	亡灵法师	None	[[普通近战]]，[[死亡之主]]	亡灵法师不总是一个眼冒鬼火的骷髅架子	tpl.skill.lord_of_death.remove|{"count":1}
monster.rolling_stone_man	Monster	黄贝蜗牛	None		他认为他是蜗牛一族唯一没有跑过兔兔的，在他知道书上都是骗人的之前	
monster.rotating_cub	Monster	双球绿莱姆	None		头上的洞其实是屁眼	
monster.salamander	Monster	小蓝焰	None	[[全向近战]]，[[远程武器]]，[[烈焰沸腾]]	会把自己发射出去灼伤敌人	tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"} ;; tpl.skill.flame_boiling.rule|{"value":1,"source":"skill.flame_boiling"}
monster.sharp_stone	Monster	紫壳蝎	None		有人说他像螃蟹，这属实把他给气坏了	
monster.shelter_stone	Monster	烈焰	None	[[吞云吐雾]]，[[生生不息]]	烈焰一族的王者	tpl.skill.cloud_breath.interact|{"reason":"skill.cloud_breath"} ;; tpl.skill.endless_flame.remove|{"count":1}
monster.skeleton_king	Monster	紫袍鹰王	None	[[普通近战]]，[[空间掌握]]	不会飞是因为吃太胖了	tpl.skill.space_mastery.battle|{"sourceAction":"DealDamage","count":1}
monster.skeleton_mage	Monster	巨齿蜘蛛	None		比起结网更喜欢撕咬敌人	
monster.skeleton_taunter	Monster	独眼蝙蝠	None	[[普通近战]]，[[转动]]	反复纠正他没有在读研究生	tpl.skill.turn_world.enter|{"count":1}
monster.skull_head	Monster	负伤莱姆	None	[[普通近战]]，[[献身]]	随时做好奉献自己的准备	tpl.skill.sacrifice.remove|{"delta":1,"reason":"skill.sacrifice"}
monster.sky_eye	Monster	大黄蜂	None	[[普通近战]]，[[远程武器]]，[[逃避]]	不会变形	tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"} ;; tpl.skill.evade.battle|{"sourceAction":"DealDamage"}
monster.smart_orc	Monster	紫蝎	None	[[普通近战]]，[[跳杀]]，[[潜伏]]	哎，扎死你呀哈哈哈哈	tpl.skill.ambush_melee.interact|{} ;; tpl.skill.leap_kill.flip|{}
monster.smuggler	Monster	轻弓骷髅	None	[[全向近战]]，[[远程武器]]，[[提速]]	准头不是很高	tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"} ;; tpl.skill.speed_up.damage|{"delta":-1}
monster.space_master	Monster	花花莱姆	None		头顶的花是他的伙伴	
monster.stepwalker	Monster	棕毛兔	None		站得更高，看得更远	
monster.stone_golem	Monster	石傀儡	None		分到植物类主要是因为他头上的草	
monster.stone_man	Monster	黄莱姆	None		莱姆一族的巨人，擅长包裹住敌人	
monster.stone_shrimp	Monster	石蟹	None		不是寄居蟹	
monster.stone_swallower	Monster	宝石蜥	None		他背上的宝石价值千金	
monster.stone_thrower	Monster	仙人掌花	None		充满尖刺	
monster.summon.special_omni	Monster	重生骷髅	None			
monster.thug	Monster	小刀哥布	None	[[链接近战]]，[[链接战术]]	跑得快，通常兼任传信官	tpl.skill.link_attack_bonus.rule|{"value":1,"source":"skill.link_attack_bonus"} ;; tpl.skill.link_tactics.activate|{"value":1,"source":"skill.link_tactics"} ;; tpl.skill.link_tactics.refresh|{"value":1,"source":"skill.link_tactics"}
monster.vagrant	Monster	哥布将军	None	[[链接近战]]，[[链接准备]]，[[链接护甲]]	猪是借来的	tpl.skill.link_attack_bonus.rule|{"value":1,"source":"skill.link_attack_bonus"} ;; tpl.skill.link_prep.move|{"reason":"skill.link_prep"} ;; tpl.skill.link_armor.interact|{"amount":1}
monster.veteran_orc	Monster	沙虫	None	[[普通近战]]，[[盗取]]，[[潜伏]]	悄悄摸摸的咬掉一块肉	tpl.skill.ambush_melee.interact|{} ;; tpl.skill.steal.flip|{"count":1,"reason":"skill.steal"}
monster.void_cub	Monster	宝宝莱姆	None			
monster.void_lost	Monster	小火焰	None	[[普通近战]]，[[呼唤]]	烈焰一族的小宝贝	tpl.skill.call_melee6.interact|{"count":1}
monster.wandering_child	Monster	巨斧骷髅	None	[[普通近战]]，[[死亡召唤]]	骷髅没肌肉怎么举起武器是困扰骷髅届百年的问题	tpl.skill.death_summon.remove|{"count":1}
monster.world_turning_hand	Monster	短剑骷髅	None	[[普通近战]]，[[吟唱]]	剑是捡的	tpl.skill.chant.interact|{"count":1}
monster.young_orc	Monster	仙人掌	None	[[普通近战]]，[[休养]]，[[潜伏]]	别碰我	tpl.skill.ambush_melee.interact|{} ;; tpl.skill.recuperate.flip|{"delta":1,"armor":2,"reason":"skill.recuperate"}
RefreshShop	ChoiceOption	刷新货物		刷新商店/卡店货物，每次适用开销翻倍		
relic.armor_strip_knife	Relic	破甲	White	攻击时若目标当前[armor]大于{relic.armor_strip_knife.battle.value}，攻击伤害+{relic.armor_strip_knife.armor_hit.value}	专挑穿得厚的下手	tpl.relic.armor_strip_knife.battle|{"sourceAction":"DealDamage","value":0,"source":"relic.armor_strip_knife"} ;; tpl.relic.armor_strip_knife.armor_hit|{"value":3,"source":"relic.armor_strip_knife"}
relic.arsenal	Relic	军械库	Blue	[每关卡结束时] 加入飞刀/爆弹/破击锤之{weight}		tpl.relic.arsenal.node_end|{"weight":1}
relic.battle_hardened	Relic	历战	Blue	[战斗时] 攻击+{value}（仅对当前敌人有效）		tpl.relic.battle_hardened.battle|{"sourceAction":"DealDamage","value":2,"source":"relic.battle_hardened"}
relic.berserker_axe	Relic	狂战	Gold	攻击+{relic.berserker_axe.base.value}，血量低于一半时玩家攻击翻倍	半条命之后才进入工作状态	tpl.relic.wood_sword.base|{"value":1} ;; tpl.relic.berserker_axe.double|{"value":2,"source":"relic.berserker_axe"}
relic.beyond_dimension	Relic	超越维度	Gold	攻击+{relic.beyond_dimension.base.value}，攻击后旋转{relic.beyond_dimension.battle.count}次	打完一拳顺便换个角度理解世界	tpl.relic.rotten_cleave_axe.base|{"value":1} ;; tpl.relic.beyond_dimension.battle|{"sourceAction":"DealDamage","count":1}
relic.blood_burst	Relic	血盾	Blue	血量上限+{relic.blood_burst.max_hp.value}，受伤时对随机怪物：反伤	你掉血，它替你记仇	tpl.relic.wood_armor.base|{"value":4} ;; tpl.relic.blood_burst.taken|{}
relic.blood_cycle	Relic	血圣杯	Blue	血量上限+{relic.blood_cycle.max_hp.value}，受到伤害时恢复{relic.blood_cycle.taken.amount}点血量	漏出去一点，它又给你倒回来一点	tpl.relic.wood_armor.base|{"value":4} ;; tpl.relic.blood_cycle.taken|{"amount":2}
relic.blood_demon	Relic	血魔徽章	White	每受到{relic.blood_demon.damage.threshold}点伤害，获得{relic.blood_demon.damage.delta}点[MHP]	挨打也是一种长期投资	tpl.relic.blood_demon.damage|{"delta":1,"reason":"relic.blood_demon","threshold":5,"projectKey":"relic.blood_demon.damage.threshold"}
relic.blood_regen	Relic	血色项链	Blue	[MHP]+{relic.blood_regen.max_hp.value}；低于半血时，恢复{relic.blood_regen.battle.amount}[HP]	只在你脸色不太好时开始工作	tpl.relic.wood_armor.base|{"value":4} ;; tpl.relic.blood_regen.battle|{"amount":2,"sourceAction":"DealDamage"}
relic.blood_shockwave	Relic	血液冲击波	Gold	血量上限+{delta}；[每关卡开始时] 将一张撞击教程放入道具牌格；[每关卡开始时] 当前血量低于50%时再放入一张撞击教程		tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":4,"reason":"relic.blood_shockwave.max_hp"} ;; tpl.relic.blood_shockwave.node_start|{} ;; tpl.relic.blood_shockwave.node_start_low_hp|{}
relic.blood_violence	Relic	血之暴力	Blue	[MHP]+{relic.blood_violence.max_hp.value}；当[HP]低于[MHP]的{relic.blood_violence.atk.pct}%时，玩家[attack]+{relic.blood_violence.atk.value}	血越少，脾气越大	tpl.relic.wood_armor.base|{"value":4} ;; tpl.relic.blood_violence.atk|{"value":2,"source":"relic.blood_violence","pct":50}
relic.body_potential	Relic	大力腰带	White	[MHP]+{relic.body_potential.max_hp.value}；[HP]每累计减少{relic.body_potential.hp_lost.threshold}点，添加{relic.body_potential.hp_lost.count}张道具到卡组	系紧一点，力气就有地方放了	tpl.relic.wood_armor.base|{"value":2} ;; tpl.relic.body_potential.hp_lost|{"count":1,"threshold":10,"projectKey":"relic.body_potential.hp_lost.threshold"}
relic.composite_armor	Relic	复合盔甲	White	每关卡开始时，每有{relic.composite_armor.node_start.every}点[attack]，获得{relic.composite_armor.node_start.gain}点[armor]	肌肉负责吓人，盔甲负责当真	tpl.relic.composite_armor.node_start|{"every":3,"gain":1}
relic.craving	Relic	渴望	Gold	[MHP]+{relic.craving.max_hp.delta}，所有恢复血量的效果翻倍	喝多少都觉得还差一口	tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":10,"reason":"relic.craving.max_hp"} ;; tpl.relic.craving.rule|{"value":2}
relic.dragon_scale_armor	Relic	龙鳞甲	Gold	基础[armor]+{relic.dragon_scale_armor.base.value}，[MHP]+{relic.dragon_scale_armor.max_hp.delta}，所有怪物的[attack]{relic.dragon_scale_armor.rule.value}	龙本人对此没有发表意见	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":6,"reason":"relic.dragon_scale_armor.max_hp"} ;; tpl.relic.dragon_scale_armor.rule|{"value":-1}
relic.easy_road	Relic	轻车熟路	Blue	[每关卡结束时] 进行一次白色帮助卡三选一		tpl.relic.easy_road.node_end|{"poolId":"help.white.choice"}
relic.even_hatred	Relic	偶数仇恨	Blue	[战斗时] 若目标怪物卡等级为偶数，玩家造成双倍伤害		tpl.relic.even_hatred.rule|{"value":2,"source":"relic.even_hatred"}
relic.foam_armor	Relic	泡沫盔甲	White	基础[armor]+{relic.foam_armor.base.value}，每场战斗第一次破甲后获得伤害护盾	第一眼像玩具，第二下再说	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.relic.foam_armor.activate|{} ;; tpl.relic.foam_armor.node_start|{} ;; tpl.relic.foam_armor.arm|{"value":0,"source":"relic.foam_armor"}
relic.forge_tool	Relic	锻造器具	Blue	基础[armor]+{relic.forge_tool.init.value}，进入战斗时吞噬{relic.forge_tool.node_start.threshold}点[armor]使基础[armor]永久+{relic.forge_tool.node_start.delta}	先拆一点，再说这是升级	tpl.relic.forge_tool.init|{"value":2} ;; tpl.relic.forge_tool.node_start|{"threshold":5,"amount":5,"delta":1,"cause":"relic.forge_tool"}
relic.gold_armor	Relic	金币盔甲	White	基础[armor]+{relic.gold_armor.base.value}，每{relic.gold_armor.rule.every}点[money]视作{relic.gold_armor.rule.value}点[armor]	钱包也是身体的一部分	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.relic.gold_armor.rule|{"value":1,"every":5}
relic.gold_blood	Relic	金血圣杯	White	[MHP]+{relic.gold_blood.max_hp.value}，每损失{relic.gold_blood.taken.every}点[HP]，获得等量[money]	一边流血，一边结算工资	tpl.relic.wood_armor.base|{"value":2} ;; tpl.relic.gold_blood.taken|{"reason":"goldBlood","every":1}
relic.gold_knife	Relic	打金刀	White	击杀怪物时，获得{relic.gold_knife.kill.delta}[money]	刀刃上沾着一点职业规划	tpl.relic.gold_knife.kill|{"delta":2,"reason":"goldKnife"}
relic.golden_coffer	Relic	黄金鱼竿	Gold	获得本遗物时，将{relic.golden_coffer.grant.count}张金色宝箱卡加入卡组	唯独钓不到鱼	tpl.relic.golden_coffer.grant|{"count":2}
relic.golden_sword	Relic	机械巨弩	Gold	[attack]+{relic.golden_sword.init.value}，[[普通攻击]]时[attack]-1，击杀时[attack]+1	需要战果给齿轮上油	tpl.relic.golden_sword.init|{"value":8} ;; tpl.relic.golden_sword.battle|{"sourceAction":"DealDamage","delta":-1} ;; tpl.relic.golden_sword.kill|{"delta":1}
relic.hard_skin	Relic	硬皮	Blue			tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":10,"reason":"relic.hard_skin.max_hp"} ;; tpl.shared.2.relic_hard_skin_node_end|{"amount":10}
relic.heavy_armor	Relic	重盔甲	White	基础[armor]+{relic.heavy_armor.base.value}，进入战斗时每有{relic.heavy_armor.node_start.every}点基础[armor]就获得{relic.heavy_armor.node_start.gain}点[armor]	穿上以后楼梯突然变长了	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.relic.heavy_armor.node_start|{"source":"Player","every":2,"gain":1}
relic.iron_shield	Relic	铁盾	Blue	基础[armor]+{relic.iron_shield.base.value}；获得{relic.iron_shield.reduction.value}层：伤害减免	没有花纹，因为花纹不挡刀	tpl.shared.4.relic_dragon_scale_armor_base|{"value":2} ;; tpl.relic.iron_shield.reduction|{"value":1,"source":"relic.iron_shield"}
relic.junk_amplifier	Relic	回收腰带	Blue	每使用{relic.junk_amplifier.use.every}张道具卡，本场战斗[attack]+{relic.junk_amplifier.use.value}	垃圾堆里捡到的	tpl.relic.junk_amplifier.use|{"value":1,"source":"relic.junk_amplifier","every":1}
relic.junk_body	Relic	回收衣物	Blue	每使用{relic.junk_body.use.threshold}张道具卡，获得{relic.junk_body.use.delta}点[MHP]	缝缝补补，居然还能长身体	tpl.relic.junk_body.use|{"delta":1,"reason":"relic.junk_body","threshold":3,"projectKey":"relic.junk_body.use.threshold"}
relic.junk_coating	Relic	回收铁背心	White	每使用{relic.junk_coating.use.every}张道具卡，获得{relic.junk_coating.use.amount}点[armor]	上辈子是 Mac Pro	tpl.relic.junk_coating.use|{"amount":1,"every":1}
relic.junk_cycler	Relic	回收手链	Blue	每使用{relic.junk_cycler.use.threshold}张道具卡，添加{relic.junk_cycler.use.count}张道具卡到卡组	环保！	tpl.relic.junk_cycler.use|{"count":1,"threshold":9,"projectKey":"relic.junk_cycler.use.threshold"}
relic.junk_launcher	Relic	回收弹弓	White	每使用{relic.junk_launcher.use.every}张道具卡，对随机{relic.junk_launcher.use.random}张怪物造成{relic.junk_launcher.use.amount}点伤害	橡皮筋是新的，其他不保证	tpl.relic.junk_launcher.use|{"amount":2,"every":1,"random":1}
relic.junk_recycler	Relic	回收食物	White	每使用{relic.junk_recycler.use.every}张道具卡，恢复{relic.junk_recycler.use.amount}点[HP]	并非食物	tpl.relic.junk_recycler.use|{"amount":2,"every":1}
relic.junk_slot_machine	Relic	废物老虎机	Gold			tpl.relic.junk_slot_machine.use|{"weight":1,"delta":9,"reason":"slot","action_choices_1_weight":0,"amount":1,"action_choices_2_weight":0,"action_choices_3_weight":0,"action_choices_4_weight":0,"action_choices_5_weight":0,"action_choices_6_weight":0,"action_choices_7_weight":0,"action_choices_7_action_delta":1,"action_choices_8_weight":0,"count":1}
relic.junk_sword	Relic	回收棒槌	Blue	[attack]+{relic.junk_sword.base.value},击杀时恢复{relic.junk_sword.kill.amount}点[HP]	二手，但上一任主人已经联系不上了	tpl.relic.wood_sword.base|{"value":2} ;; tpl.relic.junk_sword.kill|{"amount":2}
relic.lucky_coin	Relic	悬赏令	White	击杀层主时将{relic.lucky_coin.boss_kill.count}张金币卡添加到卡组	上面的画像画得不太像	tpl.relic.lucky_coin.boss_kill|{"count":1}
relic.metal_blood	Relic	凝血护甲	Gold	受到伤害时，将损失的[HP]转换为等量的[armor]	流出来的不能浪费	tpl.relic.metal_blood.taken|{}
